sample_id,true_algo,ranked_list,candidate_set,candidate_size,rank1,rank2,rank3,rank4,rank5,top1_correct,top2_correct,top3_correct,top4_correct,top5_correct,candidate_correct,true_rank
WOW__TEST__STEGO__2930.pgm,WOW,"WOW,HILL,HUGO,MiPOD,S-UNIWARD","WOW,HILL,HUGO,MiPOD",4,WOW,HILL,HUGO,MiPOD,S-UNIWARD,1,1,1,1,1,1,1
WOW__TEST__STEGO__5964.pgm,WOW,"WOW,MiPOD,S-UNIWARD,HILL,HUGO","WOW,MiPOD,S-UNIWARD,HILL",4,WOW,MiPOD,S-UNIWARD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__1554.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__987.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__249.pgm,WOW,"WOW,MiPOD,S-UNIWARD,HILL,HUGO","WOW,MiPOD,S-UNIWARD,HILL",4,WOW,MiPOD,S-UNIWARD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__536.pgm,WOW,"S-UNIWARD,HILL,MiPOD,HUGO,WOW","S-UNIWARD,HILL,MiPOD",3,S-UNIWARD,HILL,MiPOD,HUGO,WOW,0,0,0,0,1,0,5
WOW__TEST__STEGO__2135.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__3282.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__3025.pgm,WOW,"WOW,S-UNIWARD,HILL,HUGO,MiPOD","WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,WOW,S-UNIWARD,HILL,HUGO,MiPOD,1,1,1,1,1,1,1
WOW__TEST__STEGO__4338.pgm,WOW,"S-UNIWARD,HILL,MiPOD,HUGO,WOW","S-UNIWARD,HILL,MiPOD",3,S-UNIWARD,HILL,MiPOD,HUGO,WOW,0,0,0,0,1,0,5
WOW__TEST__STEGO__3829.pgm,WOW,"HILL,S-UNIWARD,WOW,MiPOD,HUGO","HILL,S-UNIWARD,WOW,MiPOD",4,HILL,S-UNIWARD,WOW,MiPOD,HUGO,0,0,1,1,1,1,3
WOW__TEST__STEGO__8169.pgm,WOW,"WOW,S-UNIWARD,HILL,MiPOD,HUGO","WOW,S-UNIWARD,HILL,MiPOD",4,WOW,S-UNIWARD,HILL,MiPOD,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__6036.pgm,WOW,"WOW,MiPOD,HILL,S-UNIWARD,HUGO","WOW,MiPOD,HILL,S-UNIWARD",4,WOW,MiPOD,HILL,S-UNIWARD,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__4156.pgm,WOW,"MiPOD,S-UNIWARD,HUGO,HILL,WOW",MiPOD,1,MiPOD,S-UNIWARD,HUGO,HILL,WOW,0,0,0,0,1,0,5
WOW__TEST__STEGO__3656.pgm,WOW,"WOW,S-UNIWARD,HUGO,MiPOD,HILL","WOW,S-UNIWARD,HUGO,MiPOD,HILL",5,WOW,S-UNIWARD,HUGO,MiPOD,HILL,1,1,1,1,1,1,1
WOW__TEST__STEGO__5552.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__6344.pgm,WOW,"WOW,HILL,MiPOD,S-UNIWARD,HUGO","WOW,HILL,MiPOD,S-UNIWARD,HUGO",5,WOW,HILL,MiPOD,S-UNIWARD,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__1266.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__8774.pgm,WOW,"HUGO,S-UNIWARD,MiPOD,HILL,WOW",HUGO,1,HUGO,S-UNIWARD,MiPOD,HILL,WOW,0,0,0,0,1,0,5
WOW__TEST__STEGO__8497.pgm,WOW,"MiPOD,HILL,WOW,S-UNIWARD,HUGO","MiPOD,HILL,WOW",3,MiPOD,HILL,WOW,S-UNIWARD,HUGO,0,0,1,1,1,1,3
WOW__TEST__STEGO__7241.pgm,WOW,"WOW,MiPOD,S-UNIWARD,HILL,HUGO","WOW,MiPOD,S-UNIWARD,HILL",4,WOW,MiPOD,S-UNIWARD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__2376.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__2882.pgm,WOW,"WOW,S-UNIWARD,HILL,HUGO,MiPOD","WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,WOW,S-UNIWARD,HILL,HUGO,MiPOD,1,1,1,1,1,1,1
WOW__TEST__STEGO__5841.pgm,WOW,"WOW,S-UNIWARD,HILL,HUGO,MiPOD","WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,WOW,S-UNIWARD,HILL,HUGO,MiPOD,1,1,1,1,1,1,1
WOW__TEST__STEGO__6552.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__5563.pgm,WOW,"WOW,MiPOD,S-UNIWARD,HILL,HUGO","WOW,MiPOD,S-UNIWARD,HILL",4,WOW,MiPOD,S-UNIWARD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__2247.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__29.pgm,WOW,"WOW,S-UNIWARD,HILL,MiPOD,HUGO","WOW,S-UNIWARD,HILL,MiPOD",4,WOW,S-UNIWARD,HILL,MiPOD,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__6778.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__5572.pgm,WOW,"WOW,MiPOD,S-UNIWARD,HILL,HUGO","WOW,MiPOD,S-UNIWARD,HILL",4,WOW,MiPOD,S-UNIWARD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__6156.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__3083.pgm,WOW,"MiPOD,HILL,WOW,HUGO,S-UNIWARD","MiPOD,HILL",2,MiPOD,HILL,WOW,HUGO,S-UNIWARD,0,0,1,1,1,0,3
WOW__TEST__STEGO__22.pgm,WOW,"WOW,S-UNIWARD,HILL,MiPOD,HUGO","WOW,S-UNIWARD,HILL,MiPOD",4,WOW,S-UNIWARD,HILL,MiPOD,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__5913.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__3214.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__4713.pgm,WOW,"WOW,HILL,MiPOD,S-UNIWARD,HUGO","WOW,HILL,MiPOD",3,WOW,HILL,MiPOD,S-UNIWARD,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__5188.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__6699.pgm,WOW,"WOW,MiPOD,S-UNIWARD,HILL,HUGO","WOW,MiPOD,S-UNIWARD,HILL",4,WOW,MiPOD,S-UNIWARD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__2391.pgm,WOW,"WOW,S-UNIWARD,HILL,MiPOD,HUGO","WOW,S-UNIWARD,HILL,MiPOD",4,WOW,S-UNIWARD,HILL,MiPOD,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__586.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__197.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__5932.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__177.pgm,WOW,"WOW,S-UNIWARD,HILL,HUGO,MiPOD","WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,WOW,S-UNIWARD,HILL,HUGO,MiPOD,1,1,1,1,1,1,1
WOW__TEST__STEGO__5988.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__7025.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__6710.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__9153.pgm,WOW,"WOW,MiPOD,S-UNIWARD,HILL,HUGO","WOW,MiPOD,S-UNIWARD,HILL",4,WOW,MiPOD,S-UNIWARD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__6496.pgm,WOW,"S-UNIWARD,MiPOD,WOW,HILL,HUGO",S-UNIWARD,1,S-UNIWARD,MiPOD,WOW,HILL,HUGO,0,0,1,1,1,0,3
WOW__TEST__STEGO__6364.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__3338.pgm,WOW,"S-UNIWARD,HILL,HUGO,MiPOD,WOW","S-UNIWARD,HILL,HUGO,MiPOD",4,S-UNIWARD,HILL,HUGO,MiPOD,WOW,0,0,0,0,1,0,5
WOW__TEST__STEGO__7478.pgm,WOW,"WOW,S-UNIWARD,HILL,HUGO,MiPOD","WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,WOW,S-UNIWARD,HILL,HUGO,MiPOD,1,1,1,1,1,1,1
WOW__TEST__STEGO__9241.pgm,WOW,"WOW,S-UNIWARD,HILL,HUGO,MiPOD","WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,WOW,S-UNIWARD,HILL,HUGO,MiPOD,1,1,1,1,1,1,1
WOW__TEST__STEGO__4651.pgm,WOW,"S-UNIWARD,MiPOD,WOW,HILL,HUGO","S-UNIWARD,MiPOD",2,S-UNIWARD,MiPOD,WOW,HILL,HUGO,0,0,1,1,1,0,3
WOW__TEST__STEGO__1575.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__3542.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL,HUGO",5,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__8438.pgm,WOW,"HILL,S-UNIWARD,WOW,MiPOD,HUGO","HILL,S-UNIWARD,WOW,MiPOD",4,HILL,S-UNIWARD,WOW,MiPOD,HUGO,0,0,1,1,1,1,3
WOW__TEST__STEGO__2240.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__6061.pgm,WOW,"S-UNIWARD,MiPOD,WOW,HUGO,HILL",S-UNIWARD,1,S-UNIWARD,MiPOD,WOW,HUGO,HILL,0,0,1,1,1,0,3
WOW__TEST__STEGO__2523.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__9271.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__191.pgm,WOW,"S-UNIWARD,MiPOD,HILL,HUGO,WOW","S-UNIWARD,MiPOD,HILL",3,S-UNIWARD,MiPOD,HILL,HUGO,WOW,0,0,0,0,1,0,5
WOW__TEST__STEGO__9501.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__8391.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__8010.pgm,WOW,"WOW,MiPOD,S-UNIWARD,HILL,HUGO","WOW,MiPOD,S-UNIWARD,HILL",4,WOW,MiPOD,S-UNIWARD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__5739.pgm,WOW,"HILL,MiPOD,WOW,S-UNIWARD,HUGO","HILL,MiPOD,WOW",3,HILL,MiPOD,WOW,S-UNIWARD,HUGO,0,0,1,1,1,1,3
WOW__TEST__STEGO__3774.pgm,WOW,"WOW,MiPOD,S-UNIWARD,HILL,HUGO","WOW,MiPOD,S-UNIWARD,HILL",4,WOW,MiPOD,S-UNIWARD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__763.pgm,WOW,"WOW,MiPOD,S-UNIWARD,HUGO,HILL","WOW,MiPOD,S-UNIWARD",3,WOW,MiPOD,S-UNIWARD,HUGO,HILL,1,1,1,1,1,1,1
WOW__TEST__STEGO__9411.pgm,WOW,"WOW,HILL,MiPOD,S-UNIWARD,HUGO","WOW,HILL,MiPOD,S-UNIWARD",4,WOW,HILL,MiPOD,S-UNIWARD,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__7821.pgm,WOW,"S-UNIWARD,MiPOD,WOW,HUGO,HILL","S-UNIWARD,MiPOD,WOW",3,S-UNIWARD,MiPOD,WOW,HUGO,HILL,0,0,1,1,1,1,3
WOW__TEST__STEGO__6668.pgm,WOW,"WOW,MiPOD,S-UNIWARD,HILL,HUGO","WOW,MiPOD,S-UNIWARD,HILL",4,WOW,MiPOD,S-UNIWARD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__8475.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__9014.pgm,WOW,"S-UNIWARD,WOW,MiPOD,HILL,HUGO","S-UNIWARD,WOW,MiPOD,HILL,HUGO",5,S-UNIWARD,WOW,MiPOD,HILL,HUGO,0,1,1,1,1,1,2
WOW__TEST__STEGO__2129.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__5230.pgm,WOW,"MiPOD,HILL,WOW,S-UNIWARD,HUGO","MiPOD,HILL",2,MiPOD,HILL,WOW,S-UNIWARD,HUGO,0,0,1,1,1,0,3
WOW__TEST__STEGO__6435.pgm,WOW,"WOW,S-UNIWARD,HILL,MiPOD,HUGO","WOW,S-UNIWARD,HILL,MiPOD",4,WOW,S-UNIWARD,HILL,MiPOD,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__1837.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__1552.pgm,WOW,"MiPOD,HILL,S-UNIWARD,WOW,HUGO",MiPOD,1,MiPOD,HILL,S-UNIWARD,WOW,HUGO,0,0,0,1,1,0,4
WOW__TEST__STEGO__7662.pgm,WOW,"S-UNIWARD,WOW,HILL,MiPOD,HUGO",S-UNIWARD,1,S-UNIWARD,WOW,HILL,MiPOD,HUGO,0,1,1,1,1,0,2
WOW__TEST__STEGO__7807.pgm,WOW,"WOW,MiPOD,HILL,S-UNIWARD,HUGO","WOW,MiPOD,HILL",3,WOW,MiPOD,HILL,S-UNIWARD,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__9556.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__2091.pgm,WOW,"MiPOD,HILL,WOW,S-UNIWARD,HUGO","MiPOD,HILL,WOW,S-UNIWARD",4,MiPOD,HILL,WOW,S-UNIWARD,HUGO,0,0,1,1,1,1,3
WOW__TEST__STEGO__848.pgm,WOW,"WOW,S-UNIWARD,HILL,HUGO,MiPOD","WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,WOW,S-UNIWARD,HILL,HUGO,MiPOD,1,1,1,1,1,1,1
WOW__TEST__STEGO__6188.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__1826.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__5048.pgm,WOW,"WOW,MiPOD,S-UNIWARD,HILL,HUGO","WOW,MiPOD,S-UNIWARD,HILL",4,WOW,MiPOD,S-UNIWARD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__5463.pgm,WOW,"WOW,MiPOD,HILL,S-UNIWARD,HUGO","WOW,MiPOD,HILL,S-UNIWARD",4,WOW,MiPOD,HILL,S-UNIWARD,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__9228.pgm,WOW,"WOW,MiPOD,S-UNIWARD,HILL,HUGO","WOW,MiPOD,S-UNIWARD,HILL",4,WOW,MiPOD,S-UNIWARD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__7912.pgm,WOW,"WOW,MiPOD,S-UNIWARD,HILL,HUGO","WOW,MiPOD,S-UNIWARD,HILL",4,WOW,MiPOD,S-UNIWARD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__2003.pgm,WOW,"WOW,S-UNIWARD,HILL,MiPOD,HUGO","WOW,S-UNIWARD,HILL,MiPOD",4,WOW,S-UNIWARD,HILL,MiPOD,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__7483.pgm,WOW,"HUGO,S-UNIWARD,MiPOD,WOW,HILL",HUGO,1,HUGO,S-UNIWARD,MiPOD,WOW,HILL,0,0,0,1,1,0,4
WOW__TEST__STEGO__3223.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__566.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__5764.pgm,WOW,"MiPOD,WOW,HILL,HUGO,S-UNIWARD","MiPOD,WOW,HILL",3,MiPOD,WOW,HILL,HUGO,S-UNIWARD,0,1,1,1,1,1,2
WOW__TEST__STEGO__7617.pgm,WOW,"WOW,HILL,MiPOD,S-UNIWARD,HUGO","WOW,HILL,MiPOD,S-UNIWARD",4,WOW,HILL,MiPOD,S-UNIWARD,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__784.pgm,WOW,"WOW,MiPOD,S-UNIWARD,HILL,HUGO","WOW,MiPOD,S-UNIWARD,HILL,HUGO",5,WOW,MiPOD,S-UNIWARD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__8284.pgm,WOW,"S-UNIWARD,HILL,MiPOD,WOW,HUGO","S-UNIWARD,HILL,MiPOD,WOW",4,S-UNIWARD,HILL,MiPOD,WOW,HUGO,0,0,0,1,1,1,4
WOW__TEST__STEGO__361.pgm,WOW,"WOW,MiPOD,S-UNIWARD,HILL,HUGO","WOW,MiPOD,S-UNIWARD,HILL",4,WOW,MiPOD,S-UNIWARD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__2108.pgm,WOW,"WOW,MiPOD,S-UNIWARD,HILL,HUGO","WOW,MiPOD,S-UNIWARD,HILL",4,WOW,MiPOD,S-UNIWARD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__9868.pgm,WOW,"HILL,S-UNIWARD,WOW,MiPOD,HUGO","HILL,S-UNIWARD,WOW,MiPOD",4,HILL,S-UNIWARD,WOW,MiPOD,HUGO,0,0,1,1,1,1,3
WOW__TEST__STEGO__3556.pgm,WOW,"WOW,S-UNIWARD,MiPOD,HILL,HUGO","WOW,S-UNIWARD,MiPOD,HILL",4,WOW,S-UNIWARD,MiPOD,HILL,HUGO,1,1,1,1,1,1,1
WOW__TEST__STEGO__3907.pgm,WOW,"WOW,S-UNIWARD,HILL,HUGO,MiPOD","WOW,S-UNIWARD,HILL,HUGO,MiPOD",5,WOW,S-UNIWARD,HILL,HUGO,MiPOD,1,1,1,1,1,1,1
WOW__TEST__STEGO__4772.pgm,WOW,"MiPOD,HILL,WOW,S-UNIWARD,HUGO","MiPOD,HILL",2,MiPOD,HILL,WOW,S-UNIWARD,HUGO,0,0,1,1,1,0,3
WOW__TEST__STEGO__3157.pgm,WOW,"MiPOD,HILL,WOW,HUGO,S-UNIWARD","MiPOD,HILL",2,MiPOD,HILL,WOW,HUGO,S-UNIWARD,0,0,1,1,1,0,3
WOW__TEST__STEGO__9651.pgm,WOW,"WOW,S-UNIWARD,HILL,MiPOD,HUGO","WOW,S-UNIWARD,HILL,MiPOD",4,WOW,S-UNIWARD,HILL,MiPOD,HUGO,1,1,1,1,1,1,1
