path,y,split
${BOSSBASE_ROOT}\cover\4143.pgm,0,train
${BOSSBASE_ROOT}\cover\4114.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6994.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\7520.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\7192.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\638.pgm,1,train
${BOSSBASE_ROOT}\cover\7043.pgm,0,train
${BOSSBASE_ROOT}\cover\6871.pgm,0,train
${BOSSBASE_ROOT}\cover\7640.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2953.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\1036.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\7511.pgm,1,train
${BOSSBASE_ROOT}\cover\9238.pgm,0,train
${BOSSBASE_ROOT}\cover\57.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\1623.pgm,1,train
${BOSSBASE_ROOT}\cover\3665.pgm,0,train
${BOSSBASE_ROOT}\cover\8621.pgm,0,train
${BOSSBASE_ROOT}\cover\3827.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\3126.pgm,1,train
${BOSSBASE_ROOT}\cover\6844.pgm,0,train
${BOSSBASE_ROOT}\cover\2043.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\9623.pgm,1,train
${BOSSBASE_ROOT}\cover\7008.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\5689.pgm,1,train
${BOSSBASE_ROOT}\cover\8495.pgm,0,train
${BOSSBASE_ROOT}\cover\1033.pgm,0,train
${BOSSBASE_ROOT}\cover\9770.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\303.pgm,1,train
${BOSSBASE_ROOT}\cover\7874.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\1778.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\9835.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\3198.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\1188.pgm,1,train
${BOSSBASE_ROOT}\cover\5909.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6721.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6069.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\3379.pgm,1,train
${BOSSBASE_ROOT}\cover\1012.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6460.pgm,1,train
${BOSSBASE_ROOT}\cover\8296.pgm,0,train
${BOSSBASE_ROOT}\cover\1872.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\4133.pgm,1,train
${BOSSBASE_ROOT}\cover\7927.pgm,0,train
${BOSSBASE_ROOT}\cover\5918.pgm,0,train
${BOSSBASE_ROOT}\cover\1571.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\4640.pgm,1,train
${BOSSBASE_ROOT}\cover\6681.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\8395.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\5518.pgm,1,train
${BOSSBASE_ROOT}\cover\5716.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\8886.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\3065.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\5138.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\5454.pgm,1,train
${BOSSBASE_ROOT}\cover\9375.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\8320.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\9904.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2684.pgm,1,train
${BOSSBASE_ROOT}\cover\2653.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\8311.pgm,1,train
${BOSSBASE_ROOT}\cover\1506.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\7651.pgm,1,train
${BOSSBASE_ROOT}\cover\4522.pgm,0,train
${BOSSBASE_ROOT}\cover\6126.pgm,0,train
${BOSSBASE_ROOT}\cover\6870.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\1895.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\1420.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\1867.pgm,1,train
${BOSSBASE_ROOT}\cover\7649.pgm,0,train
${BOSSBASE_ROOT}\cover\8789.pgm,0,train
${BOSSBASE_ROOT}\cover\4808.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\4070.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\4413.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6824.pgm,1,train
${BOSSBASE_ROOT}\cover\9855.pgm,0,train
${BOSSBASE_ROOT}\cover\4854.pgm,0,train
${BOSSBASE_ROOT}\cover\5422.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6674.pgm,1,train
${BOSSBASE_ROOT}\cover\1455.pgm,0,train
${BOSSBASE_ROOT}\cover\532.pgm,0,train
${BOSSBASE_ROOT}\cover\9310.pgm,0,train
${BOSSBASE_ROOT}\cover\3441.pgm,0,train
${BOSSBASE_ROOT}\cover\9469.pgm,0,train
${BOSSBASE_ROOT}\cover\9719.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\3262.pgm,1,train
${BOSSBASE_ROOT}\cover\2729.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\9532.pgm,1,train
${BOSSBASE_ROOT}\cover\2107.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\4251.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2867.pgm,1,train
${BOSSBASE_ROOT}\cover\5181.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\4703.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\42.pgm,1,train
${BOSSBASE_ROOT}\cover\9459.pgm,0,train
${BOSSBASE_ROOT}\cover\4170.pgm,0,train
${BOSSBASE_ROOT}\cover\4078.pgm,0,train
${BOSSBASE_ROOT}\cover\6068.pgm,0,train
${BOSSBASE_ROOT}\cover\121.pgm,0,train
${BOSSBASE_ROOT}\cover\7600.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\5524.pgm,1,train
${BOSSBASE_ROOT}\cover\6153.pgm,0,train
${BOSSBASE_ROOT}\cover\869.pgm,0,train
${BOSSBASE_ROOT}\cover\2283.pgm,0,train
${BOSSBASE_ROOT}\cover\8913.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6887.pgm,1,train
${BOSSBASE_ROOT}\cover\6528.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\1319.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\8637.pgm,1,train
${BOSSBASE_ROOT}\cover\3257.pgm,0,train
${BOSSBASE_ROOT}\cover\197.pgm,0,train
${BOSSBASE_ROOT}\cover\3816.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\632.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\593.pgm,1,train
${BOSSBASE_ROOT}\cover\1707.pgm,0,train
${BOSSBASE_ROOT}\cover\9487.pgm,0,train
${BOSSBASE_ROOT}\cover\7033.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\7231.pgm,1,train
${BOSSBASE_ROOT}\cover\5153.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\1996.pgm,1,train
${BOSSBASE_ROOT}\cover\570.pgm,0,train
${BOSSBASE_ROOT}\cover\445.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\5661.pgm,1,train
${BOSSBASE_ROOT}\cover\2998.pgm,0,train
${BOSSBASE_ROOT}\cover\6210.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2643.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2149.pgm,1,train
${BOSSBASE_ROOT}\cover\5419.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\9427.pgm,1,train
${BOSSBASE_ROOT}\cover\3491.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\265.pgm,1,train
${BOSSBASE_ROOT}\cover\1478.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\9091.pgm,1,train
${BOSSBASE_ROOT}\cover\8946.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\862.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2557.pgm,1,train
${BOSSBASE_ROOT}\cover\6285.pgm,0,train
${BOSSBASE_ROOT}\cover\5459.pgm,0,train
${BOSSBASE_ROOT}\cover\6387.pgm,0,train
${BOSSBASE_ROOT}\cover\2375.pgm,0,train
${BOSSBASE_ROOT}\cover\4728.pgm,0,train
${BOSSBASE_ROOT}\cover\1791.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\4019.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\299.pgm,1,train
${BOSSBASE_ROOT}\cover\1324.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\8415.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\4575.pgm,1,train
${BOSSBASE_ROOT}\cover\7768.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\5084.pgm,1,train
${BOSSBASE_ROOT}\cover\5062.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\8933.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2417.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\3758.pgm,1,train
${BOSSBASE_ROOT}\cover\2419.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6519.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\8843.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\7087.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6233.pgm,1,train
${BOSSBASE_ROOT}\cover\9938.pgm,0,train
${BOSSBASE_ROOT}\cover\4893.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\1665.pgm,1,train
${BOSSBASE_ROOT}\cover\5543.pgm,0,train
${BOSSBASE_ROOT}\cover\3101.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\8879.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6730.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\9435.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\4017.pgm,1,train
${BOSSBASE_ROOT}\cover\3721.pgm,0,train
${BOSSBASE_ROOT}\cover\9843.pgm,0,train
${BOSSBASE_ROOT}\cover\9103.pgm,0,train
${BOSSBASE_ROOT}\cover\6906.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\3957.pgm,1,train
${BOSSBASE_ROOT}\cover\3929.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\9105.pgm,1,train
${BOSSBASE_ROOT}\cover\9196.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2727.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2253.pgm,1,train
${BOSSBASE_ROOT}\cover\6656.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6472.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\9077.pgm,1,train
${BOSSBASE_ROOT}\cover\485.pgm,0,train
${BOSSBASE_ROOT}\cover\1239.pgm,0,train
${BOSSBASE_ROOT}\cover\9164.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\5670.pgm,1,train
${BOSSBASE_ROOT}\cover\2693.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\7286.pgm,1,train
${BOSSBASE_ROOT}\cover\54.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2742.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\4200.pgm,1,train
${BOSSBASE_ROOT}\cover\195.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\4062.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\3242.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6409.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\3661.pgm,1,train
${BOSSBASE_ROOT}\cover\7394.pgm,0,train
${BOSSBASE_ROOT}\cover\4987.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\8758.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\7667.pgm,1,train
${BOSSBASE_ROOT}\cover\596.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\4314.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\7753.pgm,1,train
${BOSSBASE_ROOT}\cover\9269.pgm,0,train
${BOSSBASE_ROOT}\cover\8845.pgm,0,train
${BOSSBASE_ROOT}\cover\4915.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\5166.pgm,1,train
${BOSSBASE_ROOT}\cover\8587.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2030.pgm,1,train
${BOSSBASE_ROOT}\cover\8151.pgm,0,train
${BOSSBASE_ROOT}\cover\7670.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6357.pgm,1,train
${BOSSBASE_ROOT}\cover\3190.pgm,0,train
${BOSSBASE_ROOT}\cover\559.pgm,0,train
${BOSSBASE_ROOT}\cover\537.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\485.pgm,1,train
${BOSSBASE_ROOT}\cover\4928.pgm,0,train
${BOSSBASE_ROOT}\cover\376.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\9817.pgm,1,train
${BOSSBASE_ROOT}\cover\2087.pgm,0,train
${BOSSBASE_ROOT}\cover\3357.pgm,0,train
${BOSSBASE_ROOT}\cover\9159.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\4267.pgm,1,train
${BOSSBASE_ROOT}\cover\5664.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2529.pgm,1,train
${BOSSBASE_ROOT}\cover\6758.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\4239.pgm,1,train
${BOSSBASE_ROOT}\cover\7276.pgm,0,train
${BOSSBASE_ROOT}\cover\7166.pgm,0,train
${BOSSBASE_ROOT}\cover\5681.pgm,0,train
${BOSSBASE_ROOT}\cover\9652.pgm,0,train
${BOSSBASE_ROOT}\cover\1654.pgm,0,train
${BOSSBASE_ROOT}\cover\8259.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6068.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\7147.pgm,1,train
${BOSSBASE_ROOT}\cover\7304.pgm,0,train
${BOSSBASE_ROOT}\cover\7770.pgm,0,train
${BOSSBASE_ROOT}\cover\675.pgm,0,train
${BOSSBASE_ROOT}\cover\6738.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6696.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\5921.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\476.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\7938.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\8726.pgm,1,train
${BOSSBASE_ROOT}\cover\5508.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\3339.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2972.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\4843.pgm,1,train
${BOSSBASE_ROOT}\cover\9244.pgm,0,train
${BOSSBASE_ROOT}\cover\8910.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\8621.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2085.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6780.pgm,1,train
${BOSSBASE_ROOT}\cover\2147.pgm,0,train
${BOSSBASE_ROOT}\cover\9663.pgm,0,train
${BOSSBASE_ROOT}\cover\5021.pgm,0,train
${BOSSBASE_ROOT}\cover\1850.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\473.pgm,1,train
${BOSSBASE_ROOT}\cover\9747.pgm,0,train
${BOSSBASE_ROOT}\cover\4074.pgm,0,train
${BOSSBASE_ROOT}\cover\1836.pgm,0,train
${BOSSBASE_ROOT}\cover\4736.pgm,0,train
${BOSSBASE_ROOT}\cover\1273.pgm,0,train
${BOSSBASE_ROOT}\cover\5001.pgm,0,train
${BOSSBASE_ROOT}\cover\1383.pgm,0,train
${BOSSBASE_ROOT}\cover\9445.pgm,0,train
${BOSSBASE_ROOT}\cover\7933.pgm,0,train
${BOSSBASE_ROOT}\cover\1411.pgm,0,train
${BOSSBASE_ROOT}\cover\2726.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\5676.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\9050.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\5146.pgm,1,train
${BOSSBASE_ROOT}\cover\2403.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6235.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\5840.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2010.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\1269.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\7023.pgm,1,train
${BOSSBASE_ROOT}\cover\5954.pgm,0,train
${BOSSBASE_ROOT}\cover\8205.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\4010.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\1143.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\8593.pgm,1,train
${BOSSBASE_ROOT}\cover\9637.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\3749.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\5896.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\7157.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\7247.pgm,1,train
${BOSSBASE_ROOT}\cover\9474.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2269.pgm,1,train
${BOSSBASE_ROOT}\cover\8640.pgm,0,train
${BOSSBASE_ROOT}\cover\6846.pgm,0,train
${BOSSBASE_ROOT}\cover\3035.pgm,0,train
${BOSSBASE_ROOT}\cover\7009.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\9804.pgm,1,train
${BOSSBASE_ROOT}\cover\6081.pgm,0,train
${BOSSBASE_ROOT}\cover\1238.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\5564.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2445.pgm,1,train
${BOSSBASE_ROOT}\cover\2054.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2021.pgm,1,train
${BOSSBASE_ROOT}\cover\9005.pgm,0,train
${BOSSBASE_ROOT}\cover\4564.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\1359.pgm,1,train
${BOSSBASE_ROOT}\cover\5988.pgm,0,train
${BOSSBASE_ROOT}\cover\7221.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\1314.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6597.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\4540.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2123.pgm,1,train
${BOSSBASE_ROOT}\cover\7650.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\5864.pgm,1,train
${BOSSBASE_ROOT}\cover\1154.pgm,0,train
${BOSSBASE_ROOT}\cover\5704.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\415.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\8687.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\491.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2921.pgm,1,train
${BOSSBASE_ROOT}\cover\3194.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\5382.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6647.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6809.pgm,1,train
${BOSSBASE_ROOT}\cover\8101.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\1316.pgm,1,train
${BOSSBASE_ROOT}\cover\22.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\1111.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\999.pgm,1,train
${BOSSBASE_ROOT}\cover\4671.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\9303.pgm,1,train
${BOSSBASE_ROOT}\cover\6795.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\358.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\7424.pgm,1,train
${BOSSBASE_ROOT}\cover\5256.pgm,0,train
${BOSSBASE_ROOT}\cover\2077.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\4477.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\7698.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\453.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6158.pgm,1,train
${BOSSBASE_ROOT}\cover\548.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2302.pgm,1,train
${BOSSBASE_ROOT}\cover\9301.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\5580.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\9472.pgm,1,train
${BOSSBASE_ROOT}\cover\4233.pgm,0,train
${BOSSBASE_ROOT}\cover\4096.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2592.pgm,1,train
${BOSSBASE_ROOT}\cover\752.pgm,0,train
${BOSSBASE_ROOT}\cover\8379.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\4584.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\8472.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\4350.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6882.pgm,1,train
${BOSSBASE_ROOT}\cover\2538.pgm,0,train
${BOSSBASE_ROOT}\cover\7398.pgm,0,train
${BOSSBASE_ROOT}\cover\9468.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\8241.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6966.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\2943.pgm,1,train
${BOSSBASE_ROOT}\cover\7697.pgm,0,train
${BOSSBASE_ROOT}\cover\3809.pgm,0,train
${BOSSBASE_ROOT}\cover\9054.pgm,0,train
${BOSSBASE_ROOT}\cover\8014.pgm,0,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\1821.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\6869.pgm,1,train
${BOSSBASE_ROOT}\stego\HILL\0.4bpp\stego\7763.pgm,1,train
