sample_id,image_name,true_algo,is_stego,path,p_WOW,p_S-UNIWARD,p_HILL,p_HUGO,p_MiPOD
COVER__BOWS2__0.2bpp__105.pgm,105.pgm,COVER,0,${BOWS2_ROOT}/cover/105.pgm,0.52783203,0.49926758,0.5258789,0.5131836,0.49926758
COVER__BOWS2__0.2bpp__1050.pgm,1050.pgm,COVER,0,${BOWS2_ROOT}/cover/1050.pgm,0.50439453,0.4987793,0.5083008,0.5083008,0.50683594
COVER__BOWS2__0.2bpp__1051.pgm,1051.pgm,COVER,0,${BOWS2_ROOT}/cover/1051.pgm,0.5004883,0.49926758,0.49902344,0.5058594,0.5019531
COVER__BOWS2__0.2bpp__1052.pgm,1052.pgm,COVER,0,${BOWS2_ROOT}/cover/1052.pgm,0.4453125,0.4987793,0.5004883,0.50927734,0.5029297
COVER__BOWS2__0.2bpp__1053.pgm,1053.pgm,COVER,0,${BOWS2_ROOT}/cover/1053.pgm,0.5058594,0.49902344,0.4975586,0.50634766,0.5024414
COVER__BOWS2__0.2bpp__1054.pgm,1054.pgm,COVER,0,${BOWS2_ROOT}/cover/1054.pgm,0.50341797,0.49926758,0.49853516,0.50634766,0.5004883
COVER__BOWS2__0.2bpp__1055.pgm,1055.pgm,COVER,0,${BOWS2_ROOT}/cover/1055.pgm,0.4963379,0.49926758,0.49975586,0.50634766,0.50341797
COVER__BOWS2__0.2bpp__1056.pgm,1056.pgm,COVER,0,${BOWS2_ROOT}/cover/1056.pgm,0.50878906,0.49829102,0.5029297,0.50878906,0.50439453
COVER__BOWS2__0.2bpp__1057.pgm,1057.pgm,COVER,0,${BOWS2_ROOT}/cover/1057.pgm,0.5078125,0.49926758,0.50878906,0.5078125,0.5083008
COVER__BOWS2__0.2bpp__1058.pgm,1058.pgm,COVER,0,${BOWS2_ROOT}/cover/1058.pgm,0.49804688,0.4987793,0.49951172,0.50634766,0.50341797
COVER__BOWS2__0.2bpp__1059.pgm,1059.pgm,COVER,0,${BOWS2_ROOT}/cover/1059.pgm,0.4975586,0.49926758,0.5019531,0.50878906,0.5024414
COVER__BOWS2__0.2bpp__106.pgm,106.pgm,COVER,0,${BOWS2_ROOT}/cover/106.pgm,0.5107422,0.49926758,0.50390625,0.5102539,0.5048828
COVER__BOWS2__0.2bpp__1060.pgm,1060.pgm,COVER,0,${BOWS2_ROOT}/cover/1060.pgm,0.50439453,0.49926758,0.4975586,0.5058594,0.5024414
COVER__BOWS2__0.2bpp__1061.pgm,1061.pgm,COVER,0,${BOWS2_ROOT}/cover/1061.pgm,0.51904297,0.49975586,0.50439453,0.51171875,0.5029297
COVER__BOWS2__0.2bpp__1062.pgm,1062.pgm,COVER,0,${BOWS2_ROOT}/cover/1062.pgm,0.17822266,0.5004883,0.2692871,0.5131836,0.4724121
COVER__BOWS2__0.2bpp__1063.pgm,1063.pgm,COVER,0,${BOWS2_ROOT}/cover/1063.pgm,0.28271484,0.49926758,0.5541992,0.51416016,0.5136719
COVER__BOWS2__0.2bpp__1064.pgm,1064.pgm,COVER,0,${BOWS2_ROOT}/cover/1064.pgm,0.50439453,0.4987793,0.5029297,0.50683594,0.5024414
COVER__BOWS2__0.2bpp__1065.pgm,1065.pgm,COVER,0,${BOWS2_ROOT}/cover/1065.pgm,0.49926758,0.49902344,0.49853516,0.5053711,0.5029297
COVER__BOWS2__0.2bpp__1066.pgm,1066.pgm,COVER,0,${BOWS2_ROOT}/cover/1066.pgm,0.012825012,0.49731445,0.0107803345,0.51708984,0.024520874
COVER__BOWS2__0.2bpp__1067.pgm,1067.pgm,COVER,0,${BOWS2_ROOT}/cover/1067.pgm,0.48095703,0.5004883,0.41088867,0.5151367,0.58984375
COVER__BOWS2__0.2bpp__1068.pgm,1068.pgm,COVER,0,${BOWS2_ROOT}/cover/1068.pgm,0.50927734,0.49951172,0.50390625,0.51220703,0.49560547
COVER__BOWS2__0.2bpp__1069.pgm,1069.pgm,COVER,0,${BOWS2_ROOT}/cover/1069.pgm,0.41796875,0.49926758,0.5239258,0.51464844,0.53808594
COVER__BOWS2__0.2bpp__107.pgm,107.pgm,COVER,0,${BOWS2_ROOT}/cover/107.pgm,0.5366211,0.49951172,0.5239258,0.51171875,0.50927734
COVER__BOWS2__0.2bpp__1070.pgm,1070.pgm,COVER,0,${BOWS2_ROOT}/cover/1070.pgm,0.3876953,0.49902344,0.5048828,0.5083008,0.5004883
COVER__BOWS2__0.2bpp__1071.pgm,1071.pgm,COVER,0,${BOWS2_ROOT}/cover/1071.pgm,0.51464844,0.49902344,0.50439453,0.50878906,0.50341797
COVER__BOWS2__0.2bpp__1072.pgm,1072.pgm,COVER,0,${BOWS2_ROOT}/cover/1072.pgm,0.64746094,0.50097656,0.56591797,0.515625,1.3709068e-06
COVER__BOWS2__0.2bpp__1073.pgm,1073.pgm,COVER,0,${BOWS2_ROOT}/cover/1073.pgm,0.51220703,0.49951172,0.5390625,0.5126953,0.5185547
COVER__BOWS2__0.2bpp__1074.pgm,1074.pgm,COVER,0,${BOWS2_ROOT}/cover/1074.pgm,0.5058594,0.49902344,0.50439453,0.5073242,0.50390625
COVER__BOWS2__0.2bpp__1075.pgm,1075.pgm,COVER,0,${BOWS2_ROOT}/cover/1075.pgm,0.5024414,0.49951172,0.5102539,0.5097656,0.50634766
COVER__BOWS2__0.2bpp__1076.pgm,1076.pgm,COVER,0,${BOWS2_ROOT}/cover/1076.pgm,0.50146484,0.4987793,0.50390625,0.5083008,0.50341797
COVER__BOWS2__0.2bpp__1077.pgm,1077.pgm,COVER,0,${BOWS2_ROOT}/cover/1077.pgm,0.47509766,0.49951172,0.48999023,0.51171875,0.5048828
COVER__BOWS2__0.2bpp__1078.pgm,1078.pgm,COVER,0,${BOWS2_ROOT}/cover/1078.pgm,0.5048828,0.49902344,0.5029297,0.50634766,0.50390625
COVER__BOWS2__0.2bpp__1079.pgm,1079.pgm,COVER,0,${BOWS2_ROOT}/cover/1079.pgm,0.49389648,0.4987793,0.5029297,0.5073242,0.5029297
COVER__BOWS2__0.2bpp__108.pgm,108.pgm,COVER,0,${BOWS2_ROOT}/cover/108.pgm,0.4321289,0.49951172,0.48364258,0.5126953,0.49951172
COVER__BOWS2__0.2bpp__1080.pgm,1080.pgm,COVER,0,${BOWS2_ROOT}/cover/1080.pgm,0.5390625,0.4987793,0.5073242,0.5102539,0.5078125
COVER__BOWS2__0.2bpp__1081.pgm,1081.pgm,COVER,0,${BOWS2_ROOT}/cover/1081.pgm,0.50097656,0.49926758,0.5,0.50634766,0.50341797
COVER__BOWS2__0.2bpp__1082.pgm,1082.pgm,COVER,0,${BOWS2_ROOT}/cover/1082.pgm,0.58691406,0.49926758,0.47460938,0.51416016,0.4987793
COVER__BOWS2__0.2bpp__1083.pgm,1083.pgm,COVER,0,${BOWS2_ROOT}/cover/1083.pgm,0.072509766,0.49951172,0.18933105,0.5175781,0.30151367
COVER__BOWS2__0.2bpp__1084.pgm,1084.pgm,COVER,0,${BOWS2_ROOT}/cover/1084.pgm,0.49975586,0.49926758,0.49951172,0.50634766,0.5029297
COVER__BOWS2__0.2bpp__1085.pgm,1085.pgm,COVER,0,${BOWS2_ROOT}/cover/1085.pgm,0.50146484,0.4987793,0.50097656,0.50634766,0.50390625
COVER__BOWS2__0.2bpp__1086.pgm,1086.pgm,COVER,0,${BOWS2_ROOT}/cover/1086.pgm,0.49853516,0.49926758,0.50097656,0.5073242,0.5024414
COVER__BOWS2__0.2bpp__1087.pgm,1087.pgm,COVER,0,${BOWS2_ROOT}/cover/1087.pgm,0.5029297,0.49926758,0.50097656,0.50683594,0.50390625
COVER__BOWS2__0.2bpp__1088.pgm,1088.pgm,COVER,0,${BOWS2_ROOT}/cover/1088.pgm,0.5214844,0.49902344,0.55859375,0.51171875,0.5205078
COVER__BOWS2__0.2bpp__1089.pgm,1089.pgm,COVER,0,${BOWS2_ROOT}/cover/1089.pgm,0.52441406,0.49926758,0.50683594,0.51464844,0.5209961
COVER__BOWS2__0.2bpp__109.pgm,109.pgm,COVER,0,${BOWS2_ROOT}/cover/109.pgm,0.8125,0.5,0.48120117,0.5161133,0.49169922
COVER__BOWS2__0.2bpp__1090.pgm,1090.pgm,COVER,0,${BOWS2_ROOT}/cover/1090.pgm,0.50097656,0.49902344,0.5053711,0.5083008,0.50439453
COVER__BOWS2__0.2bpp__1091.pgm,1091.pgm,COVER,0,${BOWS2_ROOT}/cover/1091.pgm,0.52490234,0.49902344,0.5053711,0.5097656,0.50146484
COVER__BOWS2__0.2bpp__1092.pgm,1092.pgm,COVER,0,${BOWS2_ROOT}/cover/1092.pgm,0.5083008,0.49902344,0.5078125,0.50683594,0.5024414
COVER__BOWS2__0.2bpp__1093.pgm,1093.pgm,COVER,0,${BOWS2_ROOT}/cover/1093.pgm,0.4584961,0.49926758,0.0051994324,0.51123047,2.7954578e-05
COVER__BOWS2__0.2bpp__1094.pgm,1094.pgm,COVER,0,${BOWS2_ROOT}/cover/1094.pgm,0.014839172,0.49902344,0.03353882,0.5175781,0.6142578
COVER__BOWS2__0.2bpp__1095.pgm,1095.pgm,COVER,0,${BOWS2_ROOT}/cover/1095.pgm,0.4987793,0.49975586,0.4633789,0.51220703,0.5058594
COVER__BOWS2__0.2bpp__1096.pgm,1096.pgm,COVER,0,${BOWS2_ROOT}/cover/1096.pgm,0.49804688,0.49902344,0.5019531,0.5053711,0.50341797
COVER__BOWS2__0.2bpp__1097.pgm,1097.pgm,COVER,0,${BOWS2_ROOT}/cover/1097.pgm,0.48754883,0.49902344,0.49853516,0.5078125,0.49951172
COVER__BOWS2__0.2bpp__1098.pgm,1098.pgm,COVER,0,${BOWS2_ROOT}/cover/1098.pgm,0.4987793,0.49926758,0.49658203,0.5058594,0.5004883
COVER__BOWS2__0.2bpp__1099.pgm,1099.pgm,COVER,0,${BOWS2_ROOT}/cover/1099.pgm,0.5053711,0.49926758,0.4975586,0.5058594,0.5004883
COVER__BOWS2__0.2bpp__11.pgm,11.pgm,COVER,0,${BOWS2_ROOT}/cover/11.pgm,0.4567871,0.49926758,0.49926758,0.50683594,0.5083008
COVER__BOWS2__0.2bpp__110.pgm,110.pgm,COVER,0,${BOWS2_ROOT}/cover/110.pgm,0.4326172,0.49902344,0.58251953,0.51171875,0.61621094
COVER__BOWS2__0.2bpp__1100.pgm,1100.pgm,COVER,0,${BOWS2_ROOT}/cover/1100.pgm,0.48583984,0.49926758,0.50341797,0.5078125,0.4946289
COVER__BOWS2__0.2bpp__1101.pgm,1101.pgm,COVER,0,${BOWS2_ROOT}/cover/1101.pgm,0.50097656,0.49926758,0.50097656,0.50439453,0.5083008
COVER__BOWS2__0.2bpp__1102.pgm,1102.pgm,COVER,0,${BOWS2_ROOT}/cover/1102.pgm,0.49365234,0.49902344,0.4970703,0.5053711,0.5029297
COVER__BOWS2__0.2bpp__1103.pgm,1103.pgm,COVER,0,${BOWS2_ROOT}/cover/1103.pgm,0.49926758,0.49926758,0.49853516,0.50634766,0.5029297
COVER__BOWS2__0.2bpp__1104.pgm,1104.pgm,COVER,0,${BOWS2_ROOT}/cover/1104.pgm,0.5073242,0.49902344,0.49804688,0.50439453,0.5024414
COVER__BOWS2__0.2bpp__1105.pgm,1105.pgm,COVER,0,${BOWS2_ROOT}/cover/1105.pgm,0.49951172,0.49926758,0.5024414,0.5073242,0.50390625
COVER__BOWS2__0.2bpp__1106.pgm,1106.pgm,COVER,0,${BOWS2_ROOT}/cover/1106.pgm,0.48876953,0.49902344,0.4987793,0.5078125,0.50341797
COVER__BOWS2__0.2bpp__1107.pgm,1107.pgm,COVER,0,${BOWS2_ROOT}/cover/1107.pgm,0.5151367,0.49926758,0.49780273,0.5058594,0.5029297
COVER__BOWS2__0.2bpp__1108.pgm,1108.pgm,COVER,0,${BOWS2_ROOT}/cover/1108.pgm,0.52001953,0.49902344,0.49780273,0.50390625,0.50341797
COVER__BOWS2__0.2bpp__1109.pgm,1109.pgm,COVER,0,${BOWS2_ROOT}/cover/1109.pgm,0.49853516,0.49926758,0.4987793,0.5078125,0.49926758
COVER__BOWS2__0.2bpp__111.pgm,111.pgm,COVER,0,${BOWS2_ROOT}/cover/111.pgm,0.9633789,0.4987793,0.28808594,0.5126953,0.60009766
COVER__BOWS2__0.2bpp__1110.pgm,1110.pgm,COVER,0,${BOWS2_ROOT}/cover/1110.pgm,0.51123047,0.49926758,0.5004883,0.5078125,0.50146484
COVER__BOWS2__0.2bpp__1111.pgm,1111.pgm,COVER,0,${BOWS2_ROOT}/cover/1111.pgm,0.5605469,0.49902344,0.50146484,0.5083008,0.49829102
COVER__BOWS2__0.2bpp__1112.pgm,1112.pgm,COVER,0,${BOWS2_ROOT}/cover/1112.pgm,0.50097656,0.49902344,0.5004883,0.50683594,0.5029297
COVER__BOWS2__0.2bpp__1113.pgm,1113.pgm,COVER,0,${BOWS2_ROOT}/cover/1113.pgm,0.5,0.49926758,0.50146484,0.50634766,0.5029297
COVER__BOWS2__0.2bpp__1114.pgm,1114.pgm,COVER,0,${BOWS2_ROOT}/cover/1114.pgm,0.49804688,0.49853516,0.50341797,0.50634766,0.5019531
COVER__BOWS2__0.2bpp__1115.pgm,1115.pgm,COVER,0,${BOWS2_ROOT}/cover/1115.pgm,0.48510742,0.49926758,0.49609375,0.5073242,0.49658203
COVER__BOWS2__0.2bpp__1116.pgm,1116.pgm,COVER,0,${BOWS2_ROOT}/cover/1116.pgm,0.50341797,0.4987793,0.5019531,0.50634766,0.5019531
COVER__BOWS2__0.2bpp__1117.pgm,1117.pgm,COVER,0,${BOWS2_ROOT}/cover/1117.pgm,0.48461914,0.49926758,0.49487305,0.5048828,0.5024414
COVER__BOWS2__0.2bpp__1118.pgm,1118.pgm,COVER,0,${BOWS2_ROOT}/cover/1118.pgm,0.5078125,0.49902344,0.49975586,0.50634766,0.48828125
COVER__BOWS2__0.2bpp__1119.pgm,1119.pgm,COVER,0,${BOWS2_ROOT}/cover/1119.pgm,0.46875,0.49926758,0.4868164,0.5073242,0.5029297
COVER__BOWS2__0.2bpp__112.pgm,112.pgm,COVER,0,${BOWS2_ROOT}/cover/112.pgm,0.5029297,0.49975586,0.52978516,0.5107422,0.50390625
COVER__BOWS2__0.2bpp__1120.pgm,1120.pgm,COVER,0,${BOWS2_ROOT}/cover/1120.pgm,0.4987793,0.49902344,0.4951172,0.5024414,0.4987793
COVER__BOWS2__0.2bpp__1121.pgm,1121.pgm,COVER,0,${BOWS2_ROOT}/cover/1121.pgm,0.51660156,0.49902344,0.4885254,0.50341797,0.5019531
COVER__BOWS2__0.2bpp__1122.pgm,1122.pgm,COVER,0,${BOWS2_ROOT}/cover/1122.pgm,0.49414062,0.49902344,0.49975586,0.50439453,0.5019531
COVER__BOWS2__0.2bpp__1123.pgm,1123.pgm,COVER,0,${BOWS2_ROOT}/cover/1123.pgm,0.5,0.4987793,0.5029297,0.50683594,0.5029297
COVER__BOWS2__0.2bpp__1124.pgm,1124.pgm,COVER,0,${BOWS2_ROOT}/cover/1124.pgm,0.4970703,0.49926758,0.49975586,0.50927734,0.5024414
COVER__BOWS2__0.2bpp__1125.pgm,1125.pgm,COVER,0,${BOWS2_ROOT}/cover/1125.pgm,0.5185547,0.49951172,0.51416016,0.5083008,0.5029297
COVER__BOWS2__0.2bpp__1126.pgm,1126.pgm,COVER,0,${BOWS2_ROOT}/cover/1126.pgm,0.8442383,0.4987793,0.97509766,0.51708984,0.61279297
COVER__BOWS2__0.2bpp__1127.pgm,1127.pgm,COVER,0,${BOWS2_ROOT}/cover/1127.pgm,0.4934082,0.5,0.55078125,0.51220703,0.5151367
COVER__BOWS2__0.2bpp__1128.pgm,1128.pgm,COVER,0,${BOWS2_ROOT}/cover/1128.pgm,0.50439453,0.49902344,0.5004883,0.50683594,0.5029297
COVER__BOWS2__0.2bpp__1129.pgm,1129.pgm,COVER,0,${BOWS2_ROOT}/cover/1129.pgm,0.4921875,0.49902344,0.5019531,0.5048828,0.5029297
COVER__BOWS2__0.2bpp__113.pgm,113.pgm,COVER,0,${BOWS2_ROOT}/cover/113.pgm,0.5083008,0.49951172,0.57958984,0.51220703,0.5439453
COVER__BOWS2__0.2bpp__1130.pgm,1130.pgm,COVER,0,${BOWS2_ROOT}/cover/1130.pgm,0.5058594,0.49951172,0.515625,0.51171875,0.5209961
COVER__BOWS2__0.2bpp__1131.pgm,1131.pgm,COVER,0,${BOWS2_ROOT}/cover/1131.pgm,0.5234375,0.49926758,0.5029297,0.5078125,0.5048828
COVER__BOWS2__0.2bpp__1132.pgm,1132.pgm,COVER,0,${BOWS2_ROOT}/cover/1132.pgm,0.4802246,0.49926758,0.49389648,0.5097656,0.4987793
COVER__BOWS2__0.2bpp__1133.pgm,1133.pgm,COVER,0,${BOWS2_ROOT}/cover/1133.pgm,0.50439453,0.49902344,0.49291992,0.5073242,0.5102539
COVER__BOWS2__0.2bpp__1134.pgm,1134.pgm,COVER,0,${BOWS2_ROOT}/cover/1134.pgm,0.50146484,0.49926758,0.50439453,0.50634766,0.50390625
COVER__BOWS2__0.2bpp__1135.pgm,1135.pgm,COVER,0,${BOWS2_ROOT}/cover/1135.pgm,0.51660156,0.49902344,0.4958496,0.5053711,0.5107422
COVER__BOWS2__0.2bpp__1136.pgm,1136.pgm,COVER,0,${BOWS2_ROOT}/cover/1136.pgm,0.48608398,0.49926758,0.4873047,0.50341797,0.49780273
