sample_id,image_name,true_algo,is_stego,path,p_WOW,p_S-UNIWARD,p_HILL,p_HUGO,p_MiPOD,z_WOW,z_S-UNIWARD,z_HILL,z_HUGO,z_MiPOD
COVER__BOWS2__0.4bpp__1007.pgm,1007.pgm,COVER,0,${BOWS2_ROOT}/cover/1007.pgm,0.59814453,0.39990234,0.6435547,0.5727539,0.49438477,2.0338113,0.77719665,1.5914537,1.4594513,0.874227
COVER__BOWS2__0.4bpp__1008.pgm,1008.pgm,COVER,0,${BOWS2_ROOT}/cover/1008.pgm,0.50927734,0.5107422,0.5097656,0.5078125,0.51464844,1.6311922,1.2259706,1.0818524,1.2106574,0.9464831
COVER__BOWS2__0.4bpp__1009.pgm,1009.pgm,COVER,0,${BOWS2_ROOT}/cover/1009.pgm,0.66064453,0.92822266,0.9511719,0.81933594,0.9824219,2.3169723,2.9162867,2.7631648,2.4041202,2.6144671
COVER__BOWS2__0.4bpp__101.pgm,101.pgm,COVER,0,${BOWS2_ROOT}/cover/101.pgm,0.06500244,0.35888672,0.33276367,0.2602539,0.6948242,-0.3816271,0.61113054,0.4076536,0.26224723,1.5889529
COVER__BOWS2__0.4bpp__1010.pgm,1010.pgm,COVER,0,${BOWS2_ROOT}/cover/1010.pgm,0.040924072,0.11242676,0.015129089,0.01411438,0.005935669,-0.4907159,-0.3867491,-0.8022136,-0.68072635,-0.86748207
COVER__BOWS2__0.4bpp__1011.pgm,1011.pgm,COVER,0,${BOWS2_ROOT}/cover/1011.pgm,0.53027344,0.53027344,0.5136719,0.51904297,0.5253906,1.7263166,1.3050498,1.0967313,1.2536819,0.98478746
COVER__BOWS2__0.4bpp__1012.pgm,1012.pgm,COVER,0,${BOWS2_ROOT}/cover/1012.pgm,0.45996094,0.48950195,0.49975586,0.51416016,0.46191406,1.4077607,1.1399721,1.0437253,1.2349756,0.7584431
COVER__BOWS2__0.4bpp__1013.pgm,1013.pgm,COVER,0,${BOWS2_ROOT}/cover/1013.pgm,0.111450195,0.03970337,0.26635742,0.6982422,0.25585938,-0.17119221,-0.68119526,0.1547128,1.9402038,0.02369447
COVER__BOWS2__0.4bpp__1014.pgm,1014.pgm,COVER,0,${BOWS2_ROOT}/cover/1014.pgm,0.49194336,0.49926758,0.5102539,0.4987793,0.5048828,1.5526594,1.1795117,1.0837122,1.1760507,0.91166085
COVER__BOWS2__0.4bpp__1015.pgm,1015.pgm,COVER,0,${BOWS2_ROOT}/cover/1015.pgm,0.49145508,0.5078125,0.52734375,0.50927734,0.51953125,1.5504472,1.2141088,1.1488073,1.2162693,0.9638942
COVER__BOWS2__0.4bpp__1016.pgm,1016.pgm,COVER,0,${BOWS2_ROOT}/cover/1016.pgm,0.5151367,0.5083008,0.5161133,0.50390625,0.5161133,1.6577386,1.2160858,1.1060306,1.1956923,0.9517064
COVER__BOWS2__0.4bpp__1017.pgm,1017.pgm,COVER,0,${BOWS2_ROOT}/cover/1017.pgm,0.50390625,0.5097656,0.52001953,0.50683594,0.50439453,1.6068581,1.2220167,1.1209095,1.2069161,0.90991974
COVER__BOWS2__0.4bpp__1018.pgm,1018.pgm,COVER,0,${BOWS2_ROOT}/cover/1018.pgm,0.008880615,0.011688232,0.008216858,0.009231567,0.008743286,-0.6358911,-0.7946243,-0.82854223,-0.6994327,-0.8574707
COVER__BOWS2__0.4bpp__1019.pgm,1019.pgm,COVER,0,${BOWS2_ROOT}/cover/1019.pgm,0.5083008,0.5073242,0.50683594,0.5078125,0.5107422,1.6267679,1.2121319,1.0706933,1.2106574,0.9325542
COVER__BOWS2__0.4bpp__102.pgm,102.pgm,COVER,0,${BOWS2_ROOT}/cover/102.pgm,0.5209961,0.5317383,0.6816406,0.39868164,0.6738281,1.6842849,1.3109807,1.7365227,0.79257125,1.514085
COVER__BOWS2__0.4bpp__1020.pgm,1020.pgm,COVER,0,${BOWS2_ROOT}/cover/1020.pgm,0.68408203,0.51904297,0.7626953,0.5185547,0.93408203,2.4231575,1.2595793,2.0452595,1.2518113,2.4420972
COVER__BOWS2__0.4bpp__1021.pgm,1021.pgm,COVER,0,${BOWS2_ROOT}/cover/1021.pgm,0.5058594,0.5058594,0.51123047,0.5097656,0.51171875,1.6157069,1.2062008,1.087432,1.2181399,0.9360364
COVER__BOWS2__0.4bpp__1022.pgm,1022.pgm,COVER,0,${BOWS2_ROOT}/cover/1022.pgm,0.50439453,0.72753906,0.74609375,0.6948242,0.82958984,1.6090703,2.1037488,1.9820242,1.9271094,2.0694995
COVER__BOWS2__0.4bpp__1023.pgm,1023.pgm,COVER,0,${BOWS2_ROOT}/cover/1023.pgm,0.03540039,0.024337769,0.1965332,0.39013672,0.57128906,-0.51574135,-0.74340826,-0.111247,0.7598352,1.1484519
COVER__BOWS2__0.4bpp__1024.pgm,1024.pgm,COVER,0,${BOWS2_ROOT}/cover/1024.pgm,0.51220703,0.5073242,0.5131836,0.5083008,0.51416016,1.6444654,1.2121319,1.0948714,1.212528,0.94474196
COVER__BOWS2__0.4bpp__1025.pgm,1025.pgm,COVER,0,${BOWS2_ROOT}/cover/1025.pgm,0.51220703,0.49389648,0.5107422,0.5410156,0.49975586,1.6444654,1.1577649,1.0855721,1.3378603,0.8933792
COVER__BOWS2__0.4bpp__1026.pgm,1026.pgm,COVER,0,${BOWS2_ROOT}/cover/1026.pgm,0.39282227,0.49829102,0.22021484,0.5761719,0.6879883,1.1035842,1.1755577,-0.021043852,1.4725457,1.5645773
COVER__BOWS2__0.4bpp__1027.pgm,1027.pgm,COVER,0,${BOWS2_ROOT}/cover/1027.pgm,0.49169922,0.49951172,0.5126953,0.5102539,0.50341797,1.5515532,1.1805001,1.0930115,1.2200105,0.9064375
COVER__BOWS2__0.4bpp__1028.pgm,1028.pgm,COVER,0,${BOWS2_ROOT}/cover/1028.pgm,0.3017578,0.67871094,0.23474121,0.7895508,9.173155e-05,0.6910101,1.906051,0.034286946,2.290012,-0.8883204
COVER__BOWS2__0.4bpp__1029.pgm,1029.pgm,COVER,0,${BOWS2_ROOT}/cover/1029.pgm,0.5097656,0.51123047,0.5083008,0.5029297,0.51123047,1.6334045,1.2279476,1.0762728,1.191951,0.9342953
COVER__BOWS2__0.4bpp__103.pgm,103.pgm,COVER,0,${BOWS2_ROOT}/cover/103.pgm,0.08105469,0.15820312,0.45239258,0.45117188,0.5107422,-0.30890125,-0.2014074,0.863319,0.99366415,0.9325542
COVER__BOWS2__0.4bpp__1030.pgm,1030.pgm,COVER,0,${BOWS2_ROOT}/cover/1030.pgm,0.50634766,0.5053711,0.5058594,0.5131836,0.48999023,1.6179191,1.2042239,1.0669736,1.2312343,0.858557
COVER__BOWS2__0.4bpp__1031.pgm,1031.pgm,COVER,0,${BOWS2_ROOT}/cover/1031.pgm,0.9926758,0.98779297,0.99121094,0.9848633,0.99316406,3.8212636,3.157478,2.9156733,3.0382643,2.6527715
COVER__BOWS2__0.4bpp__1032.pgm,1032.pgm,COVER,0,${BOWS2_ROOT}/cover/1032.pgm,0.50683594,0.5083008,0.5024414,0.49853516,0.51123047,1.6201313,1.2160858,1.0539545,1.1751153,0.9342953
COVER__BOWS2__0.4bpp__1033.pgm,1033.pgm,COVER,0,${BOWS2_ROOT}/cover/1033.pgm,0.5205078,0.5107422,0.50927734,0.51220703,0.5097656,1.6820726,1.2259706,1.0799925,1.227493,0.92907196
COVER__BOWS2__0.4bpp__1034.pgm,1034.pgm,COVER,0,${BOWS2_ROOT}/cover/1034.pgm,0.50341797,0.5024414,0.49243164,0.5185547,0.48876953,1.604646,1.1923621,1.0158274,1.2518113,0.8542042
COVER__BOWS2__0.4bpp__1035.pgm,1035.pgm,COVER,0,${BOWS2_ROOT}/cover/1035.pgm,0.4934082,0.5209961,0.5161133,0.5024414,0.50683594,1.559296,1.2674872,1.1060306,1.1900804,0.9186253
COVER__BOWS2__0.4bpp__1036.pgm,1036.pgm,COVER,0,${BOWS2_ROOT}/cover/1036.pgm,0.015602112,0.016662598,0.07171631,0.54541016,0.17370605,-0.6054388,-0.77448386,-0.5866734,1.354696,-0.26924738
COVER__BOWS2__0.4bpp__1037.pgm,1037.pgm,COVER,0,${BOWS2_ROOT}/cover/1037.pgm,0.4819336,0.48168945,0.4970703,0.49902344,0.49438477,1.5073094,1.1083405,1.033496,1.176986,0.874227
COVER__BOWS2__0.4bpp__1038.pgm,1038.pgm,COVER,0,${BOWS2_ROOT}/cover/1038.pgm,0.018096924,0.15344238,0.4182129,0.49243164,0.44140625,-0.59413594,-0.22068293,0.7331289,1.1517324,0.6853165
COVER__BOWS2__0.4bpp__1039.pgm,1039.pgm,COVER,0,${BOWS2_ROOT}/cover/1039.pgm,0.020248413,0.013900757,0.95654297,0.045196533,0.7548828,-0.58438843,-0.78566617,2.7836232,-0.56164896,1.8031095
COVER__BOWS2__0.4bpp__104.pgm,104.pgm,COVER,0,${BOWS2_ROOT}/cover/104.pgm,0.8569336,0.59472656,0.7709961,0.49536133,0.7133789,3.2062738,1.5660108,2.0768769,1.1629562,1.655115
COVER__BOWS2__0.4bpp__1040.pgm,1040.pgm,COVER,0,${BOWS2_ROOT}/cover/1040.pgm,0.0692749,0.022201538,0.24414062,0.098083496,0.48754883,-0.3622704,-0.75205755,0.07008923,-0.3590362,0.8498514
COVER__BOWS2__0.4bpp__1041.pgm,1041.pgm,COVER,0,${BOWS2_ROOT}/cover/1041.pgm,0.5083008,0.50927734,0.50390625,0.50439453,0.5136719,1.6267679,1.2200397,1.0595341,1.1975629,0.94300085
COVER__BOWS2__0.4bpp__1042.pgm,1042.pgm,COVER,0,${BOWS2_ROOT}/cover/1042.pgm,0.4958496,0.5083008,0.5097656,0.51904297,0.5097656,1.570357,1.2160858,1.0818524,1.2536819,0.92907196
COVER__BOWS2__0.4bpp__1043.pgm,1043.pgm,COVER,0,${BOWS2_ROOT}/cover/1043.pgm,0.39575195,0.49804688,0.5053711,0.5131836,0.5097656,1.1168573,1.1745692,1.0651137,1.2312343,0.92907196
COVER__BOWS2__0.4bpp__1044.pgm,1044.pgm,COVER,0,${BOWS2_ROOT}/cover/1044.pgm,0.5004883,0.5078125,0.5175781,0.5102539,0.5209961,1.5913727,1.2141088,1.1116102,1.2200105,0.9691175
COVER__BOWS2__0.4bpp__1045.pgm,1045.pgm,COVER,0,${BOWS2_ROOT}/cover/1045.pgm,0.52490234,0.50927734,0.51416016,0.50878906,0.49536133,1.7019824,1.2200397,1.0985911,1.2143986,0.8777092
COVER__BOWS2__0.4bpp__1046.pgm,1046.pgm,COVER,0,${BOWS2_ROOT}/cover/1046.pgm,0.4963379,0.47094727,0.5830078,0.5991211,0.5522461,1.5725691,1.064847,1.3608313,1.5604655,1.0805485
COVER__BOWS2__0.4bpp__1047.pgm,1047.pgm,COVER,0,${BOWS2_ROOT}/cover/1047.pgm,0.20239258,0.018798828,0.53759766,0.5307617,0.48388672,0.24082878,-0.7658346,1.1878643,1.2985771,0.8367931
COVER__BOWS2__0.4bpp__1048.pgm,1048.pgm,COVER,0,${BOWS2_ROOT}/cover/1048.pgm,0.5097656,0.5097656,0.5102539,0.50439453,0.5058594,1.6334045,1.2220167,1.0837122,1.1975629,0.9151431
COVER__BOWS2__0.4bpp__1049.pgm,1049.pgm,COVER,0,${BOWS2_ROOT}/cover/1049.pgm,0.5136719,0.50439453,0.50439453,0.5102539,0.5019531,1.651102,1.2002699,1.061394,1.2200105,0.9012142
COVER__BOWS2__0.4bpp__105.pgm,105.pgm,COVER,0,${BOWS2_ROOT}/cover/105.pgm,0.062561035,0.029586792,0.072387695,0.08093262,0.22302246,-0.39268807,-0.72215575,-0.5841161,-0.42474213,-0.09339521
COVER__BOWS2__0.4bpp__1050.pgm,1050.pgm,COVER,0,${BOWS2_ROOT}/cover/1050.pgm,0.49365234,0.5053711,0.51953125,0.5097656,0.52490234,1.560402,1.2042239,1.1190495,1.2181399,0.98304635
COVER__BOWS2__0.4bpp__1051.pgm,1051.pgm,COVER,0,${BOWS2_ROOT}/cover/1051.pgm,0.5058594,0.50634766,0.5078125,0.50634766,0.5073242,1.6157069,1.2081778,1.074413,1.2050455,0.9203664
COVER__BOWS2__0.4bpp__1052.pgm,1052.pgm,COVER,0,${BOWS2_ROOT}/cover/1052.pgm,0.25610352,0.47583008,0.47070312,0.5209961,0.45654297,0.48417005,1.0846168,0.9330637,1.2611644,0.7392909
COVER__BOWS2__0.4bpp__1053.pgm,1053.pgm,COVER,0,${BOWS2_ROOT}/cover/1053.pgm,0.51708984,0.50927734,0.51416016,0.5078125,0.51123047,1.6665874,1.2200397,1.0985911,1.2106574,0.9342953
COVER__BOWS2__0.4bpp__1054.pgm,1054.pgm,COVER,0,${BOWS2_ROOT}/cover/1054.pgm,0.50097656,0.51171875,0.5214844,0.51464844,0.5078125,1.593585,1.2299247,1.126489,1.2368462,0.9221075
COVER__BOWS2__0.4bpp__1055.pgm,1055.pgm,COVER,0,${BOWS2_ROOT}/cover/1055.pgm,0.49609375,0.50634766,0.5073242,0.5078125,0.51171875,1.571463,1.2081778,1.0725532,1.2106574,0.9360364
COVER__BOWS2__0.4bpp__1056.pgm,1056.pgm,COVER,0,${BOWS2_ROOT}/cover/1056.pgm,0.5097656,0.5136719,0.51220703,0.51123047,0.51171875,1.6334045,1.2378325,1.0911517,1.2237518,0.9360364
COVER__BOWS2__0.4bpp__1057.pgm,1057.pgm,COVER,0,${BOWS2_ROOT}/cover/1057.pgm,0.50683594,0.5239258,0.54003906,0.5107422,0.5576172,1.6201313,1.2793491,1.1971637,1.2218812,1.0997008
COVER__BOWS2__0.4bpp__1058.pgm,1058.pgm,COVER,0,${BOWS2_ROOT}/cover/1058.pgm,0.48706055,0.49804688,0.5019531,0.49951172,0.4946289,1.5305375,1.1745692,1.0520947,1.1788566,0.8750975
COVER__BOWS2__0.4bpp__1059.pgm,1059.pgm,COVER,0,${BOWS2_ROOT}/cover/1059.pgm,0.49047852,0.49169922,0.5102539,0.50390625,0.50878906,1.5460228,1.1488686,1.0837122,1.1956923,0.92558974
COVER__BOWS2__0.4bpp__106.pgm,106.pgm,COVER,0,${BOWS2_ROOT}/cover/106.pgm,0.62646484,0.48754883,0.56689453,0.94873047,0.59472656,2.1621187,1.1320642,1.2994559,2.8998377,1.2320251
COVER__BOWS2__0.4bpp__1060.pgm,1060.pgm,COVER,0,${BOWS2_ROOT}/cover/1060.pgm,0.51904297,0.5102539,0.5107422,0.5126953,0.51123047,1.6754361,1.2239937,1.0855721,1.2293637,0.9342953
COVER__BOWS2__0.4bpp__1061.pgm,1061.pgm,COVER,0,${BOWS2_ROOT}/cover/1061.pgm,0.60498047,0.54785156,0.5239258,0.50683594,0.5107422,2.0647821,1.376221,1.1357883,1.2069161,0.9325542
COVER__BOWS2__0.4bpp__1062.pgm,1062.pgm,COVER,0,${BOWS2_ROOT}/cover/1062.pgm,0.018096924,0.04534912,0.009162903,0.27392578,0.024658203,-0.59413594,-0.6583364,-0.8249388,0.31462494,-0.80072135
COVER__BOWS2__0.4bpp__1063.pgm,1063.pgm,COVER,0,${BOWS2_ROOT}/cover/1063.pgm,0.013687134,0.060516357,0.5722656,0.51171875,0.21435547,-0.61411476,-0.59692657,1.3199143,1.2256224,-0.12429993
COVER__BOWS2__0.4bpp__1064.pgm,1064.pgm,COVER,0,${BOWS2_ROOT}/cover/1064.pgm,0.5161133,0.50927734,0.5102539,0.50683594,0.51123047,1.6621629,1.2200397,1.0837122,1.2069161,0.9342953
COVER__BOWS2__0.4bpp__1065.pgm,1065.pgm,COVER,0,${BOWS2_ROOT}/cover/1065.pgm,0.5083008,0.5083008,0.50878906,0.5131836,0.51171875,1.6267679,1.2160858,1.0781326,1.2312343,0.9360364
COVER__BOWS2__0.4bpp__1066.pgm,1066.pgm,COVER,0,${BOWS2_ROOT}/cover/1066.pgm,0.009124756,0.008575439,0.0104522705,0.008155823,0.010650635,-0.634785,-0.80722755,-0.82002753,-0.7035539,-0.8506695
COVER__BOWS2__0.4bpp__1067.pgm,1067.pgm,COVER,0,${BOWS2_ROOT}/cover/1067.pgm,0.36645508,0.49975586,0.062316895,0.23913574,1.1920929e-07,0.98412573,1.1814886,-0.6224757,0.18134244,-0.888647
COVER__BOWS2__0.4bpp__1068.pgm,1068.pgm,COVER,0,${BOWS2_ROOT}/cover/1068.pgm,0.5805664,0.4650879,0.51123047,0.53466797,0.4675293,1.9541725,1.0411233,1.087432,1.3135421,0.77846587
COVER__BOWS2__0.4bpp__1069.pgm,1069.pgm,COVER,0,${BOWS2_ROOT}/cover/1069.pgm,0.018539429,0.020690918,0.44921875,0.27954102,0.5078125,-0.59213114,-0.7581738,0.8512299,0.33613718,0.9221075
COVER__BOWS2__0.4bpp__107.pgm,107.pgm,COVER,0,${BOWS2_ROOT}/cover/107.pgm,0.5444336,0.48535156,0.48388672,0.5600586,0.62841797,1.7904701,1.1231678,0.9832799,1.4108149,1.3521618
COVER__BOWS2__0.4bpp__1070.pgm,1070.pgm,COVER,0,${BOWS2_ROOT}/cover/1070.pgm,0.06451416,0.40698242,0.5234375,0.5229492,0.45458984,-0.3838393,0.80586284,1.1339284,1.268647,0.73232645
COVER__BOWS2__0.4bpp__1071.pgm,1071.pgm,COVER,0,${BOWS2_ROOT}/cover/1071.pgm,0.56591797,0.5107422,0.5136719,0.5097656,0.5239258,1.8878067,1.2259706,1.0967313,1.2181399,0.9795642
COVER__BOWS2__0.4bpp__1072.pgm,1072.pgm,COVER,0,${BOWS2_ROOT}/cover/1072.pgm,0.75927734,0.4428711,0.12756348,0.017715454,0.040252686,2.7638352,0.95117074,-0.37395206,-0.66693044,-0.7451147
COVER__BOWS2__0.4bpp__1073.pgm,1073.pgm,COVER,0,${BOWS2_ROOT}/cover/1073.pgm,0.6118164,0.3149414,0.5913086,0.62939453,0.62597656,2.095753,0.4332025,1.3924488,1.6764445,1.3434563
COVER__BOWS2__0.4bpp__1074.pgm,1074.pgm,COVER,0,${BOWS2_ROOT}/cover/1074.pgm,0.51953125,0.50878906,0.52490234,0.51416016,0.5161133,1.6776483,1.2180628,1.139508,1.2349756,0.9517064
COVER__BOWS2__0.4bpp__1075.pgm,1075.pgm,COVER,0,${BOWS2_ROOT}/cover/1075.pgm,0.5595703,0.50927734,0.5371094,0.51464844,0.51123047,1.8590481,1.2200397,1.1860045,1.2368462,0.9342953
COVER__BOWS2__0.4bpp__1076.pgm,1076.pgm,COVER,0,${BOWS2_ROOT}/cover/1076.pgm,0.5078125,0.5083008,0.5097656,0.50439453,0.51171875,1.6245557,1.2160858,1.0818524,1.1975629,0.9360364
COVER__BOWS2__0.4bpp__1077.pgm,1077.pgm,COVER,0,${BOWS2_ROOT}/cover/1077.pgm,0.40014648,0.53271484,0.34155273,0.37841797,0.55322266,1.136767,1.3149347,0.44113106,0.7149401,1.0840307
COVER__BOWS2__0.4bpp__1078.pgm,1078.pgm,COVER,0,${BOWS2_ROOT}/cover/1078.pgm,0.5102539,0.5083008,0.51416016,0.5019531,0.5175781,1.6356167,1.2160858,1.0985911,1.1882098,0.95692974
COVER__BOWS2__0.4bpp__1079.pgm,1079.pgm,COVER,0,${BOWS2_ROOT}/cover/1079.pgm,0.49023438,0.50341797,0.5102539,0.50927734,0.5161133,1.5449167,1.196316,1.0837122,1.2162693,0.9517064
COVER__BOWS2__0.4bpp__108.pgm,108.pgm,COVER,0,${BOWS2_ROOT}/cover/108.pgm,0.034606934,0.107055664,0.5029297,0.515625,0.53027344,-0.5193361,-0.40849584,1.0558144,1.2405875,1.0021986
COVER__BOWS2__0.4bpp__1080.pgm,1080.pgm,COVER,0,${BOWS2_ROOT}/cover/1080.pgm,0.67089844,0.40600586,0.5253906,0.5258789,0.54296875,2.363428,0.8019089,1.1413679,1.2798707,1.0474675
COVER__BOWS2__0.4bpp__1081.pgm,1081.pgm,COVER,0,${BOWS2_ROOT}/cover/1081.pgm,0.5126953,0.5078125,0.5102539,0.50878906,0.51464844,1.6466776,1.2141088,1.0837122,1.2143986,0.9464831
COVER__BOWS2__0.4bpp__1082.pgm,1082.pgm,COVER,0,${BOWS2_ROOT}/cover/1082.pgm,0.019012451,0.01461792,0.064086914,0.34179688,0.19006348,-0.58998805,-0.78276247,-0.6157337,0.5746427,-0.21092017
COVER__BOWS2__0.4bpp__1083.pgm,1083.pgm,COVER,0,${BOWS2_ROOT}/cover/1083.pgm,0.013023376,0.008514404,0.010612488,0.013168335,0.015075684,-0.617122,-0.8074747,-0.8194173,-0.6843507,-0.83489066
COVER__BOWS2__0.4bpp__1084.pgm,1084.pgm,COVER,0,${BOWS2_ROOT}/cover/1084.pgm,0.5053711,0.50683594,0.5058594,0.5058594,0.5102539,1.6134948,1.2101549,1.0669736,1.2031748,0.9308131
COVER__BOWS2__0.4bpp__1085.pgm,1085.pgm,COVER,0,${BOWS2_ROOT}/cover/1085.pgm,0.5053711,0.5097656,0.50683594,0.50927734,0.50927734,1.6134948,1.2220167,1.0706933,1.2162693,0.92733085
COVER__BOWS2__0.4bpp__1086.pgm,1086.pgm,COVER,0,${BOWS2_ROOT}/cover/1086.pgm,0.50927734,0.5078125,0.5078125,0.50439453,0.5131836,1.6311922,1.2141088,1.074413,1.1975629,0.94125974
COVER__BOWS2__0.4bpp__1087.pgm,1087.pgm,COVER,0,${BOWS2_ROOT}/cover/1087.pgm,0.5053711,0.50683594,0.51708984,0.4987793,0.51660156,1.6134948,1.2101549,1.1097503,1.1760507,0.9534475
COVER__BOWS2__0.4bpp__1088.pgm,1088.pgm,COVER,0,${BOWS2_ROOT}/cover/1088.pgm,0.6982422,0.4736328,0.6538086,0.5341797,0.671875,2.4873111,1.0757203,1.6305107,1.3116715,1.5071206
COVER__BOWS2__0.4bpp__1089.pgm,1089.pgm,COVER,0,${BOWS2_ROOT}/cover/1089.pgm,0.043029785,0.024002075,0.19616699,0.46899414,0.44360352,-0.4811758,-0.7447674,-0.1126419,1.0619422,0.6931515
COVER__BOWS2__0.4bpp__109.pgm,109.pgm,COVER,0,${BOWS2_ROOT}/cover/109.pgm,0.012825012,0.01763916,0.111816406,0.017440796,0.16638184,-0.6180207,-0.7705299,-0.4339325,-0.6679827,-0.29536405
COVER__BOWS2__0.4bpp__1090.pgm,1090.pgm,COVER,0,${BOWS2_ROOT}/cover/1090.pgm,0.5107422,0.5097656,0.5151367,0.5097656,0.52001953,1.6378288,1.2220167,1.1023109,1.2181399,0.9656353
COVER__BOWS2__0.4bpp__1091.pgm,1091.pgm,COVER,0,${BOWS2_ROOT}/cover/1091.pgm,0.76464844,0.4909668,0.5107422,0.5,0.49169922,2.7881694,1.1459031,1.0855721,1.1807272,0.86465085
COVER__BOWS2__0.4bpp__1092.pgm,1092.pgm,COVER,0,${BOWS2_ROOT}/cover/1092.pgm,0.54296875,0.51708984,0.54296875,0.51220703,0.53271484,1.7838336,1.2516714,1.2083228,1.227493,1.0109042
COVER__BOWS2__0.4bpp__1093.pgm,1093.pgm,COVER,0,${BOWS2_ROOT}/cover/1093.pgm,0.110839844,0.105773926,0.012771606,0.05697632,0.0015487671,-0.17395747,-0.4136854,-0.8111932,-0.51651996,-0.8831249
COVER__BOWS2__0.4bpp__1094.pgm,1094.pgm,COVER,0,${BOWS2_ROOT}/cover/1094.pgm,0.009124756,0.0071487427,0.011070251,0.015777588,0.020217896,-0.634785,-0.8130041,-0.8176737,-0.6743545,-0.8165546
COVER__BOWS2__0.4bpp__1095.pgm,1095.pgm,COVER,0,${BOWS2_ROOT}/cover/1095.pgm,0.32543945,0.50097656,0.31298828,0.38867188,0.5410156,0.79830146,1.186431,0.3323293,0.7542233,1.040503
COVER__BOWS2__0.4bpp__1096.pgm,1096.pgm,COVER,0,${BOWS2_ROOT}/cover/1096.pgm,0.5136719,0.50878906,0.51416016,0.51123047,0.51953125,1.651102,1.2180628,1.0985911,1.2237518,0.9638942
COVER__BOWS2__0.4bpp__1097.pgm,1097.pgm,COVER,0,${BOWS2_ROOT}/cover/1097.pgm,0.33007812,0.44921875,0.50097656,0.50439453,0.51660156,0.81931734,0.97687143,1.0483749,1.1975629,0.9534475
COVER__BOWS2__0.4bpp__1098.pgm,1098.pgm,COVER,0,${BOWS2_ROOT}/cover/1098.pgm,0.5024414,0.5024414,0.5097656,0.49780273,0.5053711,1.6002215,1.1923621,1.0818524,1.1723094,0.91340196
COVER__BOWS2__0.4bpp__1099.pgm,1099.pgm,COVER,0,${BOWS2_ROOT}/cover/1099.pgm,0.51416016,0.5029297,0.5029297,0.4946289,0.49804688,1.6533142,1.194339,1.0558144,1.1601503,0.8872853
COVER__BOWS2__0.4bpp__11.pgm,11.pgm,COVER,0,${BOWS2_ROOT}/cover/11.pgm,0.16027832,0.53808594,0.50439453,0.32885742,0.47680664,0.05002711,1.3366815,1.061394,0.52507097,0.811547
